Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,OBC-NCL,398,363
2,Round 1,"National Institute of Technology, Warangal",Biotechnology,G1,EWS,511,511
3,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,OPEN,482,438
4,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,OPEN-PwD,258,258
5,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,SC,284,275
6,Round 1,"National Institute of Technology, Warangal",Biotechnology,G1,OPEN,641,528
7,Round 1,National Institute of Technology Uttarakhand,Power Electronics & Drives,G1,SC,300,300
8,Round 1,National Institute of Technology Uttarakhand,Power System & Control,G1,OBC-NCL,357,335
9,Round 1,National Institute of Technology Uttarakhand,Power System & Control,G1,OPEN,468,364
10,Round 1,"National Institute of Technology, Warangal",Additive Manufacturing,G1,EWS,531,531
11,Round 1,"National Institute of Technology, Warangal",Additive Manufacturing,G1,OPEN,678,571
12,Round 1,National Institute of Technology Uttarakhand,Structural Engineering,G1,OBC-NCL,432,414
13,Round 1,National Institute of Technology Uttarakhand,Structural Engineering,G1,EWS,406,406
14,Round 1,"National Institute of Technology, Warangal",Additive Manufacturing,G1,SC,378,359
15,Round 1,"National Institute of Technology, Warangal",Automobile Engineering,G1,OBC-NCL,614,598
16,Round 1,National Institute of Technology Uttarakhand,Machine Design,G1,OBC-NCL,382,343
17,Round 1,National Institute of Technology Uttarakhand,Machine Design,G1,OPEN,516,424
18,Round 1,National Institute of Technology Uttarakhand,Machine Design,G1,SC,241,241
19,Round 1,National Institute of Technology Uttarakhand,Structural Engineering,G1,SC,347,347
20,Round 1,National Institute of Technology Uttarakhand,Transportation Engineering,G1,OBC-NCL,372,357
21,Round 1,National Institute of Technology Uttarakhand,Manufacturing Technology,G1,OPEN,401,374
22,Round 1,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,G1,OBC-NCL,475,442
23,Round 1,National Institute of Technology Uttarakhand,Transportation Engineering,G1,OPEN,465,375
24,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G2,OPEN,741,697
25,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G2,SC,466,466
26,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G2,ST,288,288
27,Round 1,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,G1,OPEN,696,571
28,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,G1,EWS,341,341
29,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,G1,OPEN,552,482
30,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,G1,SC,297,297
31,Round 1,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,G1,SC,367,303
32,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,G2,OBC-NCL,589,582
33,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,G2,EWS,571,550
34,Round 1,National Institute of Technology Uttarakhand,Communication Systems,G1,OPEN,400,387
35,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,G2,ST,245,245
36,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,OBC-NCL,714,679
37,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,EWS,727,719
38,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,OPEN,780,749
39,Round 1,National Institute of Technology Uttarakhand,Geotechnical Engineering,G1,OBC-NCL,359,359
40,Round 1,National Institute of Technology Uttarakhand,Geotechnical Engineering,G1,EWS,356,356
41,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G1,OBC-NCL-PwD,271,271
42,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G1,EWS,685,679
43,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,SC,574,508
44,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G1,SC,588,504
45,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G1,ST,500,371
46,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G2,OBC-NCL,775,739
47,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,G1,ST,385,385
48,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,G1,OBC-NCL,608,582
49,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,G1,EWS,578,555
50,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,G1,OPEN,678,632
51,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,G1,SC,479,448
52,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G2,OPEN,818,775
53,Round 1,"National Institute of Technology, Tiruchirappalli",Thermal Power Engineering,G1,OBC-NCL,673,649
54,Round 1,"National Institute of Technology, Tiruchirappalli",Thermal Power Engineering,G1,EWS,673,646
55,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,G2,SC,621,600
56,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,G1,OBC-NCL,628,614
57,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,G1,EWS,607,593
